collection_year,collection_label,survey,table_name,table_title,release,url
2016,201617,Graduation Rates,DRVGR2016,Frequently used derived variables (GR) 150% of normal time to complete - cohort year 2010 (4-year) and cohort year 2013 (2-year) institutions,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVGR2016.zip
2016,201617,Outcome Measures,OM2016,Award and enrollment data at six and eight years for four entering undergraduate cohorts from 2008 - degree granting institutions,Final,https://nces.ed.gov/ipeds/datacenter/data/OM2016.zip
2016,201617,Outcome Measures,DRVOM2016,"Frequently used derived variables (OM) Award and enrollment rates of degree/certificate-seeking undergraduates, 2008 cohort",Final,https://nces.ed.gov/ipeds/datacenter/data/DRVOM2016.zip
2016,201617,Finance,F1516_F1A,Public institutions - GASB 34/35: Fiscal year 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/F1516_F1A.zip
2016,201617,Finance,F1516_F2,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/F1516_F2.zip
2016,201617,Finance,F1516_F3,Private for-profit institutions: Fiscal year 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/F1516_F3.zip
2016,201617,Finance,DRVF2016,Frequently used/derived variables Finance (F): Fiscal year 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVF2016.zip
2016,201617,Human Resources,EAP2016,"Number of staff by occupational category, faculty and tenure status:  Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/EAP2016.zip
2016,201617,Human Resources,SAL2016_IS,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2016-17",Final,https://nces.ed.gov/ipeds/datacenter/data/SAL2016_IS.zip
2016,201617,Human Resources,SAL2016_NIS,Number and salary outlays for full-time nonmedical  noninstructional staff by occupation: Academic year 2016-17,Final,https://nces.ed.gov/ipeds/datacenter/data/SAL2016_NIS.zip
2016,201617,Human Resources,S2016_OC,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/S2016_OC.zip
2016,201617,Human Resources,S2016_SIS,"Full-time instructional staff, by academic rank, faculty and tenure status  (Degree-granting institutions): Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/S2016_SIS.zip
2016,201617,Human Resources,S2016_IS,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/S2016_IS.zip
2016,201617,Human Resources,S2016_NH,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/S2016_NH.zip
2016,201617,Human Resources,DRVHR2016,Frequently used/derived variables Human resources (HR): Fall 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVHR2016.zip
2016,201617,Academic Libraries,AL2016,"Academic Libraries, 2015-16",Final,https://nces.ed.gov/ipeds/datacenter/data/AL2016.zip
2016,201617,Academic Libraries,DRVAL2016,Frequently used/derived variables Academic library indicators: Fiscal year 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVAL2016.zip
2017,201718,Institutional Characteristics,HD2017,Directory information,Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/HD2017.zip
